JourneyDuration INT,JourneyID INT,EndDate INT,EndMonth INT,EndYear INT,EndHour INT,EndMinute INT,EndStationID INT,StartDate INT,StartMonth INT,StartYear INT,StartHour INT,StartMinute INT,StartStationID INT
1320,9528,14,9,17,13,14,176,14,9,17,12,52,201
540,10647,17,9,17,12,58,703,17,9,17,12,49,645
